Angle,UpperRight,LowerRight,UpperMiddle,LowerLeft,UpperLeft
0,0.99,1.73,0,1.26,1.4
0,0.92,1.67,0,1.26,1.4
0,0.92,1.73,0,1.26,1.46
0,0.92,1.8,0,1.26,1.4
0,0.99,1.73,0,1.26,1.4
0,0.99,2,0,1.26,1.26
0,0.92,2,0,1.26,1.33
0,1.13,2,0,1.4,1.33
0,0.92,2,0,1.46,1.26
0,0.99,1.94,0,1.4,1.33
0,0.99,2,0,1.33,1.33
0,0.92,2,0,1.33,1.26
0,0.99,2,0,1.53,1.33
0,0.86,2.21,0,1.33,1.33
0,0.92,2.14,0,1.53,1.33
0,0.99,2,0,1.4,1.33
0,0.99,2.27,0,1.4,1.46
0,0.92,1.8,0,1.4,1.26
0,1.06,1.67,0,1.33,1.19
0,0.92,1.33,0,1.4,1.19
0,0.79,1.73,0,1.33,1.26
0,0.92,1.94,0,1.33,1.19
0,0.86,1.87,0,1.46,1.19
0,1.06,2,0,1.19,1.26
0,0.92,1.94,0,1.33,1.19
0,0.92,1.8,0,1.19,1.26
0,0.92,1.94,0,1.26,1.19
0,0.92,2,0,1.33,1.19
0,0.92,2.14,0,1.19,1.19
0,0.92,2.07,0,1.33,1.19
0,0.92,2.14,0,1.33,1.19
0,0.92,2,0,1.19,1.26
0,0.92,2.27,0,1.06,1.19
0,0.92,2.07,0,1.19,1.26
0,0.92,2.14,0,1.19,1.26
0,0.86,2.07,0,1.33,1.19
0,0.92,2.07,0,1.26,1.26
0,0.92,2,0,1.19,1.19
0,1.06,1.94,0,1.33,1.26
0,0.99,1.94,0,1.19,1.19
0,0.92,1.26,0,1.19,1.26
0,0.99,1.6,0,1.13,1.19
0,0.99,1.8,0,1.26,1.19
0,0.99,1.8,0,1.19,1.19
0,0.99,1.8,0,1.26,1.19
0,0.99,2,0,1.13,1.19
0,0.99,1.87,0,1.19,1.13
0,0.92,1.8,0,1.19,1.19
0,0.99,1.87,0,1.13,1.19
0,1.06,1.94,0,1.13,1.26
0,0.99,1.8,0,1.13,1.19
0,0.86,1.8,0,1.13,1.19
0,0.99,1.8,0,1.13,1.19
0,0.99,1.8,0,0.92,1.13
0,1.06,1.8,0,1.19,1.26
0,0.92,1.94,0,1.26,1.26
0,0.99,1.87,0,1.13,1.13
0,0.99,1.87,0,1.13,1.26
0,0.92,1.67,0,1.13,1.26
0,0.99,1.87,0,0.99,1.19
0,1.13,1.8,0,1.13,1.19
0,0.99,1.73,0,1.13,1.4
0,0.99,1.8,0,1.13,1.26
0,0.92,1.8,0,1.19,1.19
0,0.92,1.8,0,1.13,1.19
0,1.06,1.87,0,1.13,1.26
0,0.99,1.87,0,1.13,1.26
0,0.92,1.87,0,1.26,1.26
0,0.92,1.8,0,1.26,1.26
0,0.99,1.8,0,1.26,1.13
0,0.99,1.87,0,1.26,1.26
0,0.99,1.94,0,1.26,1.19
0,0.99,1.8,0,1.26,1.19
0,0.86,1.8,0,1.19,1.26
0,0.99,1.8,0,1.26,1.26
0,0.92,1.8,0,1.4,1.26
0,0.99,1.8,0,1.33,1.33
0,0.99,1.8,0,1.26,1.19
0,1.13,1.73,0,1.19,1.19
0,0.99,1.87,0,1.33,1.26
0,0.99,1.8,0,1.33,1.26
0,1.13,1.73,0,1.26,1.26
0,0.92,1.8,0,1.33,1.26
0,0.99,1.8,0,1.26,1.26
0,1.13,1.8,0,1.26,1.19
0,1.06,1.8,0,1.19,1.19
0,0.92,1.73,0,1.26,1.13
0,0.92,1.73,0,1.26,1.26
0,0.92,1.73,0,1.26,1.26
