Angle,UpperRight,LowerRight,UpperMiddle,LowerLeft,UpperLeft
0,1.40,6.79,0.00,1.53,2.21
0,1.46,6.86,0.00,1.67,2.14
0,1.40,6.79,0.00,1.46,2.21
0,1.53,6.86,0.00,1.53,2.21
0,1.46,6.86,0.00,1.53,2.27
0,1.40,6.93,0.00,1.53,2.21
0,1.46,6.86,0.00,1.53,2.21
0,1.46,6.93,0.00,1.53,2.21
0,1.46,6.79,0.00,1.53,2.21
0,1.46,6.79,0.00,1.53,2.21
0,1.46,6.86,0.00,1.46,2.14
0,1.46,6.86,0.00,1.53,2.21
0,1.33,6.86,0.00,1.53,2.21
0,1.46,6.86,0.00,1.60,2.21
0,1.46,6.79,0.00,1.53,2.21
0,1.33,6.86,0.00,1.46,2.41
0,1.46,6.73,0.00,1.40,2.21
0,1.46,6.73,0.00,1.40,2.21
0,1.40,6.79,0.00,1.40,2.21
0,1.33,6.79,0.00,1.33,2.27
0,1.26,6.79,0.00,1.46,2.21
0,1.46,6.73,0.00,1.46,2.27
0,1.46,6.73,0.00,1.40,2.34
0,1.33,6.73,0.00,1.40,2.14
0,1.40,6.66,0.00,1.33,2.21
0,1.40,6.66,0.00,1.40,2.34
0,1.46,6.66,0.00,1.40,2.14
0,1.40,6.73,0.00,1.33,2.21
0,1.46,6.73,0.00,1.40,2.21
0,1.46,6.66,0.00,1.40,2.21
0,1.60,6.59,0.00,1.46,2.14
0,1.53,6.73,0.00,1.46,2.14
0,1.46,6.79,0.00,1.46,2.27
0,1.46,6.73,0.00,1.60,2.21
0,1.53,6.86,0.00,1.46,2.21
0,1.40,6.86,0.00,1.40,2.21
0,1.53,6.79,0.00,1.60,2.21
0,1.53,6.79,0.00,1.46,2.14
0,1.53,6.93,0.00,1.53,2.00
0,1.53,6.86,0.00,1.60,2.14
0,1.46,6.66,0.00,1.40,2.21
0,1.46,6.93,0.00,1.40,2.14
0,1.46,6.73,0.00,1.53,2.21
0,1.40,6.73,0.00,1.46,2.14
0,1.40,6.66,0.00,1.40,2.21
0,1.46,6.52,0.00,1.46,2.21
0,1.40,6.59,0.00,1.40,2.21
0,1.40,6.46,0.00,1.46,2.27
0,1.40,6.59,0.00,1.40,2.21
0,1.46,6.52,0.00,1.40,2.07
0,1.40,6.59,0.00,1.19,2.21
0,1.40,6.12,0.00,1.53,1.80
0,1.13,5.85,0.00,0.99,1.67
0,1.33,4.84,0.00,0.86,1.33
0,0.79,3.96,0.00,0.45,1.40
0,0.99,2.41,0.00,0.65,1.80
0,0.86,2.07,0.00,0.52,1.94
0,1.06,2.00,0.00,0.52,2.00
0,0.92,2.48,0.00,0.86,2.27
0,0.79,2.75,0.00,0.86,2.34
0,0.86,2.54,0.00,0.99,2.34
0,1.06,2.68,0.00,0.92,2.34
0,0.92,2.68,0.00,1.13,2.34
0,0.86,2.75,0.00,1.06,2.34
0,1.06,2.75,0.00,1.06,2.41
0,0.92,2.75,0.00,0.99,2.34
0,1.06,2.68,0.00,1.06,2.34
0,1.13,2.61,0.00,1.13,2.41
0,0.99,2.68,0.00,1.33,2.41
0,1.06,2.68,0.00,1.13,2.41
0,0.99,2.68,0.00,1.19,2.34
0,0.72,2.14,0.00,1.40,2.27
0,0.65,2.54,0.00,1.46,2.34
0,0.65,2.54,0.00,1.53,2.14
0,0.99,2.14,0.00,1.53,2.21
0,0.92,2.14,0.00,1.53,2.27
0,1.13,2.07,0.00,1.46,2.27
0,1.13,2.21,0.00,1.40,2.27
0,0.72,2.21,0.00,1.33,2.14
0,0.86,1.94,0.00,1.46,2.27
0,0.79,2.07,0.00,1.53,2.27
0,0.86,2.14,0.00,1.40,2.27
0,0.72,2.34,0.00,1.33,2.27
0,0.79,2.41,0.00,1.53,2.27
0,0.79,2.48,0.00,1.40,2.27
0,0.79,2.27,0.00,1.40,2.27
0,1.06,1.67,0.00,1.33,2.27
0,1.13,1.13,0.00,1.33,2.27
0,1.19,1.33,0.00,1.40,2.34
0,1.26,1.33,0.00,1.40,2.27
0,1.33,1.67,0.00,1.33,2.27
0,1.26,1.87,0.00,1.13,2.34
0,1.40,1.87,0.00,0.99,2.34
0,1.33,2.14,0.00,0.99,2.34
0,1.06,1.94,0.00,1.06,2.27
0,1.19,1.80,0.00,1.26,2.34
