Angle,UpperRight,LowerRight,UpperMiddle,LowerLeft,UpperLeft
0,,1.06
0,0.38,1.80,0.00,1.33,1.06
0,0.38,1.70.00,1.19,0.99
0,0.32,1.67,0.00,1.26,0.99
0,0.32,1.60,0.00,1.19,0.99
0,0.38,1.60,0.00,1.19,1.06
0,0.38,1.80,0.00,1.33,1.06
0,0.38,1.70.52,1.87,0.00,0.99,1.06
0,0.32,1.94,0.00,0.92,0.99
0,0.38,1.87,0.00,0.99,0.92
0,0.32,2.07,0.00,0.99,1.13
0,0.32,2.21,0.00,0.99,0.99
0,0.38,2.07,0.00,0.99,0.99
0,0.38,2.14,0.00,0.99,0.92
0,0.38,2.00,0.00,1.06,0.92
0,0.32,2.00,0.00,0.99,0.99
0,0.32,2.00,0.00,0.99,0.92
0,0.38,2.07,0.00,0.86,0.99
0,0.32,1.94,0.00,0.99,1.13
0,0.38,1.94,0.00,0.99,0.92
0,0.25,1.94,0.00,0.92,0.99
0,0.38,1.94,0.00,0.99,0.99
0,0.32,1.87,0.00,0.99,0.92
0,0.25,1.94,0.00,0.99,0.99
0,0.32,2.00,0.00,0.99,1.13
0,0.38,1.94,0.00,0.99,0.99
0,0.38,2.07,0.00,0.99,0.92
0,0.38,2.07,0.00,1.06,0.92
0,0.45,2.00,0.00,0.99,0.99
0,0.25,2.00,0.00,0.99,0.99
0,0.38,2.07,0.00,0.92,0.99
0,0.38,2.00,0.00,0.99,0.92
0,0.38,2.07,0.00,0.92,1.13
0,0.38,1.94,0.00,0.79,0.92
0,0.32,1.94,0.00,1.06,0.99
0,0.38,2.07,0.00,0.99,0.99
0,0.32,2.00,0.00,0.99,0.99
0,0.38,2.00,0.00,0.92,0.92
0,0.38,2.00,0.00,0.99,0.92
0,0.25,1.94,0.00,0.92,0.92
0,0.38,1.94,0.00,0.99,0.99
0,0.38,2.00,0.00,0.99,0.86
0,0.38,2.07,0.00,0.99,0.99
0,0.38,2.07,0.00,0.99,0.99
0,0.38,1.94,0.00,0.92,0.92
0,0.38,2.00,0.00,0.99,0.92
0,0.32,2.00,0.00,0.99,0.99
0,0.32,2.00,0.00,0.99,0.99
0,0.38,2.07,0.00,0.99,0.99
0,0.38,2.07,0.00,0.99,0.92
0,0.32,2.00,0.00,0.99,0.99
0,0.25,2.07,0.00,0.86,0.92
0,0.38,2.14,0.00,0.99,0.99
0,0.32,2.21,0.00,1.06,0.99
0,0.38,2.07,0.00,0.99,0.92
0,0.45,2.14,0.00,0.99,0.92
0,0.32,2.14,0.00,0.99,0.92
0,0.32,2.27,0.00,0.99,0.92
0,0.38,2.14,0.00,0.99,0.92
0,0.38,2.14,0.00,0.99,0.86
0,0.38,2.21,0.00,1.06,0.92
0,0.38,2.14,0.00,0.99,0.92
0,0.25,2.07,0.00,0.99,0.92
0,0.38,2.14,0.00,0.99,0.99
0,0.38,2.07,0.00,1.19,0.86
0,0.38,2.14,0.00,0.99,0.92
0,0.38,2.21,0.00,0.99,0.92
0,0.25,2.14,0.00,1.06,0.92
0,0.38,2.07,0.00,0.99,0.92
0,0.38,2.27,0.00,1.13,0.92
0,0.38,2.07,0.00,0.99,0.92
0,0.38,2.07,0.00,1.06,0.92
0,0.38,2.07,0.00,0.99,0.92
0,0.32,2.14,0.00,1.06,0.86
0,0.38,2.07,0.00,0.99,0.99
0,0.32,2.07,0.00,0.86,0.99
0,0.25,2.07,0.00,0.99,0.92
0,0.38,2.07,0.00,0.99,0.92
0,0.52,2.07,0.00,0.99,0.92
0,0.45,2.07,0.00,0.99,0.92
0,0.32,2.00,0.00,0.99,0.92
0,0.38,2.14,0.00,0.99,0.92
0,0.38,2.14,0.00,0.99,0.86
0,0.32,2.07,0.00,0.99,0.92
0,0.38,2.07,0.00,0.92,0.92
0,0.38,2.00,0.00,0.99,0.92
0,0.32,2.07,0.00,0.99,0.92
0,0.45,2.14,0.00,0.99,0.92
0,0.38,1.87,0.00,0.99,0.92
0,0.32,2.07,0.00,1.06,0.92
0,0.38,2.07,0.00,0.99,0.92
0,0.25,2.07,0.00,0.92,0.92
0,0.32,2.14,0.00,0.99,0.92
0,0.38,2.21,0.00,0.92,0.92
0,0.25,2.14,0.00,0.92,0.92
0,0.38,2.14,0.00,0.99,0.92
0,0.32,2.14,0.00,0.99,0.92
0,0.38,2.14,0.00,0.99,0.79
