Angle,UpperRight,LowerRight,UpperMiddle,LowerLeft,UpperLeft
0,0.72,2.61,0,0.99,0.86
0,0.92,2.68,0,1.06,0.86
0,0.92,2.07,0,1.06,0.79
0,0.92,2.68,0,1.13,0.72
0,0.92,2.34,0,1.13,0.79
0,0.92,2.48,0,1.06,0.79
0,0.92,2,0,1.13,0.86
0,0.92,2.21,0,1.13,0.86
0,0.92,2.21,0,1.19,0.86
0,0.92,2.34,0,1.19,0.79
0,0.86,2.34,0,1.13,0.79
0,0.86,2.34,0,1.06,0.79
0,0.92,2.48,0,1.13,0.79
0,0.92,2.41,0,0.32,0.86
0,0.86,2.75,0,0.52,0.86
0,0.92,2.41,0,0.59,0.72
0,0.86,2.75,0,0.65,0.59
0,0.92,2.61,0,0.86,0.72
0,0.92,2.68,0,0.79,0.72
0,0.92,2.68,0,0.99,0.72
0,0.92,2.75,0,0.72,0.86
0,0.92,2.68,0,0.92,0.65
0,0.86,2.68,0,0.86,0.72
0,0.72,2.68,0,1.06,0.79
0,0.86,2.81,0,1.26,0.65
0,0.86,2.81,0,1.13,0.72
0,0.92,2.61,0,1.13,0.72
0,0.92,2.75,0,1.13,0.72
0,0.99,2.81,0,1.13,0.79
0,0.92,2.81,0,0.99,0.72
0,0.92,2.75,0,1.19,0.79
0,0.99,2.68,0,1.26,0.72
0,0.99,2.81,0,1.06,0.79
0,0.99,2.75,0,1.19,0.79
0,1.06,2.75,0,1.13,0.79
0,0.99,2.81,0,1.19,0.79
0,0.92,2.68,0,1.26,0.79
0,0.92,2.75,0,1.26,0.79
0,0.92,2.61,0,1.06,0.65
0,0.86,2.75,0,1.33,0.86
0,0.86,2.95,0,1.33,0.72
0,0.79,2.88,0,1.46,0.79
0,0.92,2.95,0,1.46,0.72
0,0.79,2.81,0,1.33,0.79
0,0.92,2.88,0,1.4,0.79
0,0.86,2.81,0,1.33,0.92
0,0.86,2.75,0,1.26,0.65
0,0.92,2.75,0,1.13,0.79
0,0.86,2.81,0,1.33,0.86
0,0.92,2.88,0,1.4,0.86
0,0.86,2.75,0,1.19,0.86
0,0.86,2.81,0,1.13,0.86
0,0.86,2.75,0,1.26,0.86
0,0.86,2.61,0,1.26,0.79
0,0.86,2.61,0,1.33,0.92
0,0.86,2.68,0,1.33,0.86
0,0.79,2.75,0,1.53,0.92
0,0.86,2.41,0,1.33,0.86
0,0.99,2,0,1.4,0.79
0,0.92,2.34,0,1.33,0.86
0,0.72,2.34,0,1.26,0.86
0,0.65,2.34,0,1.33,0.86
0,0.59,2.21,0,1.26,0.79
0,0.59,2.27,0,1.33,0.92
0,0.65,2.14,0,1.4,0.86
0,0.65,2.14,0,1.33,0.72
0,0.72,2.21,0,1.26,0.79
0,0.79,2.14,0,1.33,0.86
0,0.79,2.41,0,1.33,0.79
0,0.79,2.21,0,1.26,0.86
0,0.92,2.14,0,1.4,0.86
0,0.79,2.07,0,1.4,0.99
0,0.86,2.07,0,1.4,0.79
0,0.86,2.21,0,1.19,0.79
0,0.79,2.14,0,1.46,0.86
0,0.72,2.14,0,1.4,0.79
0,0.79,2.07,0,1.4,0.72
0,0.79,2.14,0,1.4,0.79
0,0.79,2.14,0,1.4,0.79
0,0.79,2.21,0,1.19,0.86
0,0.65,3.49,0,1.06,0.45
0,0.86,5.31,0,0.92,0.99
0,1.26,6.86,0,0.92,1.26
0,0.72,7.81,0,1.6,1.6
0,1.4,8.68,0,1.26,1.6
0,1.53,9.9,0,1.19,1.67
0,1.46,9.97,0,1.13,1.87
0,1.4,9.7,0,1.19,1.8
0,1.4,9.16,0,1.4,1.87
0,1.4,9.7,0,1.33,1.94
0,1.53,10.17,0,1.33,1.94
0,1.6,9.7,0,1.4,1.94
0,1.6,10.44,0,1.4,1.94
0,1.8,10.17,0,1.46,2
0,1.94,9.97,0,1.53,2
0,1.94,10.51,0,1.53,1.87
0,1.8,10.57,0,1.67,2
0,2,10.44,0,1.53,2
0,1.94,9.9,0,1.6,2
0,2,9.63,0,1.53,1.94
0,1.87,9.83,0,1.53,1.87
0,1.8,9.76,0,1.53,1.94
0,1.8,9.9,0,1.53,2
0,1.73,9.83,0,1.53,2
0,1.87,9.76,0,1.73,1.94
0,1.73,9.83,0,1.6,2
0,1.67,9.7,0,1.67,1.94
0,1.8,9.36,0,1.6,1.94
0,1.73,9.56,0,1.6,1.94
0,1.67,9.49,0,1.4,1.87
0,1.8,9.49,0,1.46,1.87
0,1.94,9.56,0,1.53,1.94
0,1.87,9.43,0,1.46,1.94
0,2,9.36,0,1.33,2.07
0,2,9.29,0,1.4,1.94
0,2.07,9.56,0,1.53,1.94
0,2,9.7,0,1.53,1.87
0,2.07,9.49,0,1.53,1.87
0,2.07,9.22,0,1.53,1.94
0,1.94,9.02,0,1.6,1.87
0,2,9.02,0,1.6,1.87
0,1.87,8.75,0,1.53,1.87
0,2,8.75,0,1.46,2
0,2,9.29,0,1.46,1.87
0,1.94,9.83,0,1.46,1.87
0,2.07,9.9,0,1.6,1.94
0,1.94,9.9,0,1.53,1.8
0,2.07,9.43,0,1.46,1.94
0,1.87,9.22,0,1.46,1.94
0,1.94,9.63,0,1.4,1.94
0,1.87,9.63,0,1.46,1.94
0,1.8,9.76,0,1.46,1.94
0,2,9.76,0,1.33,2
0,2.07,9.83,0,1.4,1.94
0,2,9.7,0,1.46,2.07
0,1.94,9.63,0,1.4,2
0,1.94,9.02,0,1.46,2.07
0,2.14,9.63,0,1.46,2.07
0,1.94,9.7,0,1.53,2.07
0,1.94,9.9,0,1.46,2
0,1.87,9.9,0,1.53,2.07
0,1.8,10.17,0,1.4,2.07
0,1.87,9.7,0,1.53,2.07
0,1.8,9.49,0,1.46,2.14
0,1.87,9.63,0,1.4,2
