Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Yi-Chen,2/27/2018 7:23:26 PM,1,150,True,False
Yi-Chen,2/27/2018 7:23:45 PM,2,150,True,False
Yi-Chen,2/27/2018 7:24:03 PM,3,132,True,False
Yi-Chen,2/27/2018 7:24:18 PM,4,132,True,False
Yi-Chen,2/27/2018 7:24:33 PM,5,114,True,False
Yi-Chen,2/27/2018 7:24:48 PM,6,114,True,False
Yi-Chen,2/27/2018 7:25:03 PM,7,96,True,False
Yi-Chen,2/27/2018 7:25:18 PM,8,96,True,False
Yi-Chen,2/27/2018 7:25:34 PM,9,78,True,False
Yi-Chen,2/27/2018 7:25:50 PM,10,78,True,False
Yi-Chen,2/27/2018 7:26:06 PM,11,69,True,False
Yi-Chen,2/27/2018 7:26:28 PM,12,69,False,True
Yi-Chen,2/27/2018 7:26:47 PM,13,78,True,False
Yi-Chen,2/27/2018 7:27:02 PM,14,78,True,False
Yi-Chen,2/27/2018 7:27:20 PM,15,69,False,True
Yi-Chen,2/27/2018 7:27:37 PM,16,78,True,False
Yi-Chen,2/27/2018 7:27:53 PM,17,78,True,False
Yi-Chen,2/27/2018 7:28:09 PM,18,74,True,False
Yi-Chen,2/27/2018 7:28:26 PM,19,74,True,False
Yi-Chen,2/27/2018 7:28:41 PM,20,70,True,False
Yi-Chen,2/27/2018 7:28:57 PM,21,70,True,False
Yi-Chen,2/27/2018 7:29:13 PM,22,66,True,False
Yi-Chen,2/27/2018 7:29:28 PM,23,66,True,False
Yi-Chen,2/27/2018 7:29:43 PM,24,62,True,False
