Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
miao,2/27/2018 12:10:32 PM,1,150,True,False
miao,2/27/2018 12:10:49 PM,2,150,True,False
miao,2/27/2018 12:11:05 PM,3,132,False,True
miao,2/27/2018 12:11:23 PM,4,150,False,True
miao,2/27/2018 12:11:40 PM,5,168,True,False
miao,2/27/2018 12:11:54 PM,6,168,True,False
miao,2/27/2018 12:12:10 PM,7,150,False,True
miao,2/27/2018 12:12:27 PM,8,168,True,False
miao,2/27/2018 12:12:43 PM,9,168,True,False
miao,2/27/2018 12:13:03 PM,10,159,False,True
miao,2/27/2018 12:13:23 PM,11,168,True,False
miao,2/27/2018 12:13:40 PM,12,168,False,True
miao,2/27/2018 12:13:56 PM,13,177,True,False
miao,2/27/2018 12:14:15 PM,14,177,False,True
miao,2/27/2018 12:14:37 PM,15,186,False,True
miao,2/27/2018 12:15:02 PM,16,195,False,True
miao,2/27/2018 12:17:49 PM,17,204,True,False
miao,2/27/2018 12:18:02 PM,18,204,True,False
miao,2/27/2018 12:18:16 PM,19,200,True,False
miao,2/27/2018 12:18:31 PM,20,200,True,False
miao,2/27/2018 12:18:46 PM,21,196,True,False
miao,2/27/2018 12:19:02 PM,22,196,True,False
miao,2/27/2018 12:19:19 PM,23,192,True,False
miao,2/27/2018 12:19:36 PM,24,192,True,False
