Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lolly,2/27/2018 4:39:26 PM,1,150,True,False
lolly,2/27/2018 4:39:40 PM,2,150,True,False
lolly,2/27/2018 4:39:55 PM,3,138,True,False
lolly,2/27/2018 4:40:09 PM,4,138,True,False
lolly,2/27/2018 4:40:23 PM,5,126,True,False
lolly,2/27/2018 4:40:37 PM,6,126,True,False
lolly,2/27/2018 4:40:51 PM,7,114,True,False
lolly,2/27/2018 4:41:04 PM,8,114,False,True
lolly,2/27/2018 4:41:18 PM,9,126,True,False
lolly,2/27/2018 4:41:34 PM,10,126,True,False
lolly,2/27/2018 4:41:48 PM,11,120,True,False
lolly,2/27/2018 4:42:01 PM,12,120,True,False
lolly,2/27/2018 4:42:15 PM,13,114,True,False
lolly,2/27/2018 4:42:29 PM,14,114,True,False
lolly,2/27/2018 4:42:43 PM,15,108,True,False
lolly,2/27/2018 4:42:57 PM,16,108,True,False
lolly,2/27/2018 4:43:12 PM,17,102,True,False
lolly,2/27/2018 4:43:26 PM,18,102,True,False
lolly,2/27/2018 4:43:40 PM,19,99,True,False
lolly,2/27/2018 4:43:55 PM,20,99,True,False
lolly,2/27/2018 4:44:12 PM,21,96,True,False
lolly,2/27/2018 4:44:28 PM,22,96,True,False
lolly,2/27/2018 4:44:43 PM,23,93,True,False
lolly,2/27/2018 4:44:58 PM,24,93,True,False
