Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Timo,2/27/2018 9:08:20 PM,1,150,False,True
Timo,2/27/2018 9:08:41 PM,2,162,True,False
Timo,2/27/2018 9:08:57 PM,3,162,True,False
Timo,2/27/2018 9:09:13 PM,4,150,True,False
Timo,2/27/2018 9:09:28 PM,5,150,True,False
Timo,2/27/2018 9:09:43 PM,6,138,True,False
Timo,2/27/2018 9:09:58 PM,7,138,True,False
Timo,2/27/2018 9:10:14 PM,8,126,True,False
Timo,2/27/2018 9:10:49 PM,9,126,True,False
Timo,2/27/2018 9:11:03 PM,10,120,False,True
Timo,2/27/2018 9:11:18 PM,11,126,True,False
Timo,2/27/2018 9:11:33 PM,12,126,True,False
Timo,2/27/2018 9:11:48 PM,13,120,True,False
Timo,2/27/2018 9:12:01 PM,14,120,True,False
Timo,2/27/2018 9:12:15 PM,15,114,True,False
Timo,2/27/2018 9:12:30 PM,16,114,True,False
Timo,2/27/2018 9:12:46 PM,17,108,True,False
Timo,2/27/2018 9:13:00 PM,18,108,True,False
Timo,2/27/2018 9:13:15 PM,19,105,True,False
Timo,2/27/2018 9:13:30 PM,20,105,True,False
Timo,2/27/2018 9:13:43 PM,21,102,True,False
Timo,2/27/2018 9:13:58 PM,22,102,True,False
Timo,2/27/2018 9:14:12 PM,23,99,True,False
Timo,2/27/2018 9:14:27 PM,24,99,True,False
