Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Yi-Chen,2/27/2018 8:39:10 PM,1,150,True,False
Yi-Chen,2/27/2018 8:39:26 PM,2,150,True,False
Yi-Chen,2/27/2018 8:39:40 PM,3,138,True,False
Yi-Chen,2/27/2018 8:39:54 PM,4,138,True,False
Yi-Chen,2/27/2018 8:40:10 PM,5,126,True,False
Yi-Chen,2/27/2018 8:40:25 PM,6,126,True,False
Yi-Chen,2/27/2018 8:40:40 PM,7,114,True,False
Yi-Chen,2/27/2018 8:40:55 PM,8,114,True,False
Yi-Chen,2/27/2018 8:41:11 PM,9,102,True,False
Yi-Chen,2/27/2018 8:41:26 PM,10,102,True,False
Yi-Chen,2/27/2018 8:41:41 PM,11,96,True,False
Yi-Chen,2/27/2018 8:42:04 PM,12,96,False,True
Yi-Chen,2/27/2018 8:42:18 PM,13,102,True,False
Yi-Chen,2/27/2018 8:42:33 PM,14,102,True,False
Yi-Chen,2/27/2018 8:42:49 PM,15,96,True,False
Yi-Chen,2/27/2018 8:43:02 PM,16,96,False,True
Yi-Chen,2/27/2018 8:43:18 PM,17,102,True,False
Yi-Chen,2/27/2018 8:43:33 PM,18,102,True,False
Yi-Chen,2/27/2018 8:43:48 PM,19,99,True,False
Yi-Chen,2/27/2018 8:44:02 PM,20,99,True,False
Yi-Chen,2/27/2018 8:44:19 PM,21,96,False,True
Yi-Chen,2/27/2018 8:44:47 PM,22,99,True,False
Yi-Chen,2/27/2018 8:45:20 PM,23,99,True,False
Yi-Chen,2/27/2018 8:46:10 PM,24,96,False,True
