Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Yi-Chen,2/27/2018 7:34:00 PM,1,150,True,False
Yi-Chen,2/27/2018 7:34:15 PM,2,150,True,False
Yi-Chen,2/27/2018 7:34:30 PM,3,132,True,False
Yi-Chen,2/27/2018 7:34:44 PM,4,132,True,False
Yi-Chen,2/27/2018 7:35:00 PM,5,114,False,True
Yi-Chen,2/27/2018 7:35:17 PM,6,132,True,False
Yi-Chen,2/27/2018 7:35:31 PM,7,132,True,False
Yi-Chen,2/27/2018 7:35:49 PM,8,114,True,False
Yi-Chen,2/27/2018 7:36:03 PM,9,114,True,False
Yi-Chen,2/27/2018 7:36:18 PM,10,105,True,False
Yi-Chen,2/27/2018 7:36:32 PM,11,105,True,False
Yi-Chen,2/27/2018 7:36:47 PM,12,96,False,True
Yi-Chen,2/27/2018 7:37:02 PM,13,105,True,False
Yi-Chen,2/27/2018 7:37:19 PM,14,105,True,False
Yi-Chen,2/27/2018 7:37:34 PM,15,96,False,True
Yi-Chen,2/27/2018 7:37:48 PM,16,105,True,False
Yi-Chen,2/27/2018 7:38:02 PM,17,105,True,False
Yi-Chen,2/27/2018 7:38:18 PM,18,101,True,False
Yi-Chen,2/27/2018 7:38:33 PM,19,101,False,True
Yi-Chen,2/27/2018 7:38:48 PM,20,105,True,False
Yi-Chen,2/27/2018 7:39:02 PM,21,105,False,True
Yi-Chen,2/27/2018 7:39:17 PM,22,109,False,True
Yi-Chen,2/27/2018 7:39:32 PM,23,113,False,True
Yi-Chen,2/27/2018 7:39:50 PM,24,117,True,False
