User1: 15:40:49.4501770
User1: 15:43:12.7784120
User1: 15:43:30.5276850
User1: 15:43:47.8326510
User1: 15:43:53.9362270
User1: 15:44:22.6304190
User1: 15:45:33.5080430
User1: 15:49:33.4064750
User1: 15:50:15.0667690
User1: 15:58:08.3363550
User1: 16:06:00.6465500
User1: 16:10:11.6792010
User1: 16:10:32.8080640
User1: 16:13:18.3096560
User1: 16:13:58.7569790
User1: 16:14:37.4230640
User1: 16:15:02.2832690
User1: 16:15:12.1799170
User1: 16:15:31.1984380
User1: 16:18:57.5259130
User1: 16:19:20.8066270
User1: 17:07:27.9875560
User1: 20:39:06.3907730
User1: 20:48:53.9727480
User1: 20:50:31.7766140
User1: 20:50:55.2049560
User1: 20:54:40.7579480
User1: 20:55:06.5380030
User1: 20:56:31.5423920
User1: 20:56:41.5154120
User1: 20:57:06.9404680
User1: 20:58:34.3600470
User1: 20:59:12.1672740
User1: 20:59:43.6456070
User1: 21:01:58.9520000
User1: 21:03:03.3533330
User1: 21:05:27.1986860
User1: 21:05:38.4204620
User1: 21:06:42.1379630
User1: 21:07:58.1711500
User1: 21:13:38.3315780
User1: 21:14:50.8969920
User1: 21:15:28.1785790
User1: 21:17:07.7348460
User1: 21:17:14.3044080
User1: 22:58:39.1050850
User1: 22:58:48.3583460
User1: 22:59:38.9679160
User1: 23:00:20.4688200
User1: 23:00:43.9765910
User1: 23:01:39.2005260
User1: 23:02:52.0818200
User1: 23:04:41.9377470
User1: 23:05:14.5600260
User1: 23:05:36.4177970
User1: 23:05:42.8793600
User1: 23:05:47.3935410
User1: 23:07:03.1165840
User1: 23:07:51.1383040
User1: 23:16:03.4406050
User1: 23:17:08.7365210
